"Species","SubPlotID","Temperature","Water","Depth","Soil..total.wt..","Soil_moisture","Dry_Root","Dry_soil","Moisture....","Dry_soil_total","Root_mass.g.g.","Root_mass..mg.g.","Shelter","rooting_depth","Dry_Root_cum","root_biomass_total","beta","rooting.depth.cal"
"PhaSub","S6P4A","Amb","Con","10_20",1054.7,45.67,0.405,44.484,2.596890738,1027.310593,0.000394233,0.394233256,"S6",20,1.617,2.75276382861095,0.954830478035969,64.8125784734266
"PhaSub","S6P5B","eT","Con","0_10",1053.4,37.13,0.495,36.386,2.003770536,1032.292281,0.000479515,0.479515355,"S6",10,0.495,2.75276382861095,0.954830478035969,64.8125784734266
"PhaSub","S6P5B","eT","Con","10_20",1280.6,34.98,0.242,34.196,2.241280732,1251.898159,0.000193306,0.193306459,"S6",20,0.737,2.75276382861095,0.954830478035969,64.8125784734266
"Wal","S1P1B","Amb","Drt","0_10",954.4,25.68,0.545,25.244,1.697819315,938.1960125,0.000580902,0.580902064,"S1",10,0.545,1.03380654080118,0.940165810239338,48.5539642487746
"Wal","S1P1B","Amb","Drt","10_20",1304.3,30.7,0.416,30.032,2.175895765,1275.919792,0.000326039,0.326039303,"S1",20,0.961,1.03380654080118,0.940165810239338,48.5539642487746
"Wal","S2P7B","Amb","Drt","0_10",980,21.51,0.393,21.155,1.650395165,963.8261274,0.00040775,0.407749893,"S2",10,0.393,1.03380654080118,0.940165810239338,48.5539642487746
"Wal","S2P7B","Amb","Drt","10_20",1273.7,31.19,0.274,30.547,2.061558192,1247.441933,0.00021965,0.219649502,"S2",20,0.667,1.03380654080118,0.940165810239338,48.5539642487746
"Wal","S3P2D","Amb","Drt","0_10",1039.3,26.51,0.541,26.034,1.795548849,1020.638861,0.00053006,0.530060162,"S3",10,0.541,1.03380654080118,0.940165810239338,48.5539642487746
"Wal","S3P2D","Amb","Drt","10_20",1268.1,34.74,0.236,33.96,2.245250432,1239.627979,0.00019038,0.190379698,"S3",20,0.777,1.03380654080118,0.940165810239338,48.5539642487746
"Wal","S4P2D","Amb","Drt","0_10",927.7,26.56,0.558,26.178,1.438253012,914.3573268,0.000610265,0.6102647,"S4",10,0.558,1.03380654080118,0.940165810239338,48.5539642487746
"Wal","S4P2D","Amb","Drt","10_20",1414.1,34.6,0.334,33.873,2.101156069,1384.387552,0.000241262,0.241261921,"S4",20,0.892,1.03380654080118,0.940165810239338,48.5539642487746
"Wal","S5P7D","Amb","Drt","0_10",1098.1,24.21,0.788,23.821,1.60677406,1080.456014,0.000729322,0.729321684,"S5",10,0.788,1.03380654080118,0.940165810239338,48.5539642487746
"Wal","S5P7D","Amb","Drt","10_20",1356.3,34.39,0.179,33.696,2.018028497,1328.929479,0.000134695,0.134694882,"S5",20,0.967,1.03380654080118,0.940165810239338,48.5539642487746
"Wal","S6P2D","Amb","Drt","0_10",1084.1,23.96,0.031,23.601,1.498330551,1067.856598,2.9e-05,0.029030115,"S6",10,0.031,1.03380654080118,0.940165810239338,48.5539642487746
"Wal","S6P2D","Amb","Drt","10_20",1354.9,31.92,0.102,31.302,1.936090226,1328.667914,7.68e-05,0.076768618,"S6",20,0.133,1.03380654080118,0.940165810239338,48.5539642487746
"Wal","S1P2C","Amb","Con","0_10",983.6,34.91,0.544,34.196,2.045259238,963.4828301,0.000564618,0.564618261,"S1",10,0.544,1.49558727775597,0.927166931981688,39.61474253986
"Wal","S1P2C","Amb","Con","10_20",1197.4,38.01,0.186,37.09,2.42041568,1168.417943,0.00015919,0.159189613,"S1",20,0.73,1.49558727775597,0.927166931981688,39.61474253986
"Wal","S2P8C","Amb","Con","0_10",1011.5,28.09,0.304,27.443,2.303310787,988.2020114,0.000307629,0.307629408,"S2",10,0.304,1.49558727775597,0.927166931981688,39.61474253986
"Wal","S2P8C","Amb","Con","10_20",1249.8,37.35,0.291,36.455,2.396251673,1219.851647,0.000238554,0.238553599,"S2",20,0.595,1.49558727775597,0.927166931981688,39.61474253986
"Wal","S3P1B","Amb","Con","0_10",943.9,25.61,0.82,25.08,2.0695041,924.3659508,0.000887095,0.887094553,"S3",10,0.82,1.49558727775597,0.927166931981688,39.61474253986
"Wal","S3P1B","Amb","Con","10_20",1186.4,37.29,0.399,36.325,2.587825154,1155.698042,0.000345246,0.345245891,"S3",20,1.219,1.49558727775597,0.927166931981688,39.61474253986
"Wal","S4P1C","Amb","Con","0_10",890.8,28,0.787,27.597,1.439285714,877.9788429,0.000896377,0.896376953,"S4",10,0.787,1.49558727775597,0.927166931981688,39.61474253986
"Wal","S4P1C","Amb","Con","10_20",1315.1,35.42,0.586,34.819,1.696781479,1292.785627,0.000453285,0.453284743,"S4",20,1.373,1.49558727775597,0.927166931981688,39.61474253986
"Wal","S5P8B","Amb","Con","0_10",1129.7,27.77,1.232,27.191,2.084983795,1106.145938,0.001113777,1.113777086,"S5",10,1.232,1.49558727775597,0.927166931981688,39.61474253986
"Wal","S5P8B","Amb","Con","10_20",1386.6,37,0.382,36.083,2.478378378,1352.234805,0.000282495,0.282495317,"S5",20,1.614,1.49558727775597,0.927166931981688,39.61474253986
"Wal","S6P1D","Amb","Con","0_10",1088.6,28.96,1.074,28.166,2.741712707,1058.753715,0.0010144,1.014400218,"S6",10,1.074,1.49558727775597,0.927166931981688,39.61474253986
